name,address,phone,website,maps_url,distance_m,status,next_message
Dentaoris,"11, Nal Sokağı, İstanbul",,https://www.dentaoris.com/,"https://www.google.com/maps/search/?api=1&query=40.9908188,29.0283906",325.6,not_contacted,Kısa WhatsApp/DM scriptini kişiselleştir; önce web sitesinden güncel telefon doğrula.
Tarkan Aktaş,,,,"https://www.google.com/maps/search/?api=1&query=40.9883299,29.0228317",360.4,not_contacted,Kısa WhatsApp/DM scriptini kişiselleştir; önce web sitesinden güncel telefon doğrula.
Medica Dent,,,,"https://www.google.com/maps/search/?api=1&query=40.9880199,29.0226651",397.5,not_contacted,Kısa WhatsApp/DM scriptini kişiselleştir; önce web sitesinden güncel telefon doğrula.
Dt. Samet Aksu,,+90 216 801 40 00,,"https://www.google.com/maps/search/?api=1&query=40.9863683,29.0257934",557.5,not_contacted,Kısa WhatsApp/DM scriptini kişiselleştir; önce web sitesinden güncel telefon doğrula.
Uğur Naili Kaya,,,,"https://www.google.com/maps/search/?api=1&query=40.9852451,29.0278056",725.7,not_contacted,Kısa WhatsApp/DM scriptini kişiselleştir; önce web sitesinden güncel telefon doğrula.
Dr. Gizem Gülgezen,,+905374958580,,"https://www.google.com/maps/search/?api=1&query=40.985068,29.0288375",779.9,not_contacted,Kısa WhatsApp/DM scriptini kişiselleştir; önce web sitesinden güncel telefon doğrula.
Ali Emir Körpeoğlu / Onur Çataldaş / Diş Hekimi,"77, General Asım Gündüz Caddesi, İstanbul",,https://www.modadishekimi.com,"https://www.google.com/maps/search/?api=1&query=40.9846541,29.0277975",786.8,not_contacted,Kısa WhatsApp/DM scriptini kişiselleştir; önce web sitesinden güncel telefon doğrula.
Modadent - Dt. Zafer Özaycan,,+90 216 450 40 55,,"https://www.google.com/maps/search/?api=1&query=40.9839589,29.0277196",857.7,not_contacted,Kısa WhatsApp/DM scriptini kişiselleştir; önce web sitesinden güncel telefon doğrula.
Clidenta,,+90 216 346 2090,https://www.clidenta.com/,"https://www.google.com/maps/search/?api=1&query=40.9864271,29.0330994",898.0,not_contacted,Kısa WhatsApp/DM scriptini kişiselleştir; önce web sitesinden güncel telefon doğrula.
Alyans Klinik,"104, Sarayardı Caddesi, İstanbul",,https://alyansclinic.com/,"https://www.google.com/maps/search/?api=1&query=40.9949168,29.0382612",1218.1,not_contacted,Kısa WhatsApp/DM scriptini kişiselleştir; önce web sitesinden güncel telefon doğrula.
Dentvibe Dental Clinic,"Yıldırım Sokağı / Fortis Sinanlı, İstanbul",+90 543 857 77 28,https://www.dentvibe.com.tr,"https://www.google.com/maps/search/?api=1&query=40.9929146,29.047759",1955.1,not_contacted,Kısa WhatsApp/DM scriptini kişiselleştir; önce web sitesinden güncel telefon doğrula.
Dent Dizayn,"99, Bağdat Caddesi, İstanbul",,https://www.dentdizayn.net/,"https://www.google.com/maps/search/?api=1&query=40.9795911,29.0448547",2143.6,not_contacted,Kısa WhatsApp/DM scriptini kişiselleştir; önce web sitesinden güncel telefon doğrula.
Klinik 216,"9, Ahmet Mithat Efendi Caddesi, İstanbul",+90 216 337 0 216,https://klinik-216.com/,"https://www.google.com/maps/search/?api=1&query=40.9748825,29.044145",2456.1,not_contacted,Kısa WhatsApp/DM scriptini kişiselleştir; önce web sitesinden güncel telefon doğrula.
Dentio,"Koşuyolu Caddesi, İstanbul",,,"https://www.google.com/maps/search/?api=1&query=41.011177,29.0380765",2484.6,not_contacted,Kısa WhatsApp/DM scriptini kişiselleştir; önce web sitesinden güncel telefon doğrula.
Fulyadent Diş Kliniği,"7, Ortaklar Caddesi",+90 212 288 6655,http://www.fulyadent.com,"https://www.google.com/maps/search/?api=1&query=41.0650459,28.9961326",1096.2,not_contacted,Kısa WhatsApp/DM scriptini kişiselleştir; önce web sitesinden güncel telefon doğrula.
Dyna Dental İmplant Türkiye,"30, Eski Osmanlı Sokağı, İstanbul",+90 212 288 18 38,https://dynadental.com.tr/,"https://www.google.com/maps/search/?api=1&query=41.0687791,28.9956332",1183.5,not_contacted,Kısa WhatsApp/DM scriptini kişiselleştir; önce web sitesinden güncel telefon doğrula.
Dr. Ebru OKAN,"143, Valikonağı Caddesi",+902122340561,http://www.ebruokan.com,"https://www.google.com/maps/search/?api=1&query=41.0549451,28.9949365",1393.3,not_contacted,Kısa WhatsApp/DM scriptini kişiselleştir; önce web sitesinden güncel telefon doğrula.
Estetik Diş Hekimi (DentNis İmplantoloji ve Estetik Diş Kliniği (Dr.Abdulkadir Narin)),"167, Valikonağı Caddesi, İstanbul",,https://dentnis.com/,"https://www.google.com/maps/search/?api=1&query=41.0550386,28.9950595",1393.4,not_contacted,Kısa WhatsApp/DM scriptini kişiselleştir; önce web sitesinden güncel telefon doğrula.
EA Dent Clinique,"79, Valikonağı Caddesi, İstanbul",,,"https://www.google.com/maps/search/?api=1&query=41.0513274,28.9907219",1523.7,not_contacted,Kısa WhatsApp/DM scriptini kişiselleştir; önce web sitesinden güncel telefon doğrula.
UDC Universaldent,"16, Teşvikiye Caddesi",+902123434990,https://www.udc.com.tr/,"https://www.google.com/maps/search/?api=1&query=41.0514025,28.9920347",1565.3,not_contacted,Kısa WhatsApp/DM scriptini kişiselleştir; önce web sitesinden güncel telefon doğrula.
Diş Hekimi Nesrin Güzey,,,,"https://www.google.com/maps/search/?api=1&query=41.0813052,28.9728503",2131.0,not_contacted,Kısa WhatsApp/DM scriptini kişiselleştir; önce web sitesinden güncel telefon doğrula.
Galatadent,,,,"https://www.google.com/maps/search/?api=1&query=41.0323306,28.9900337",1876.2,not_contacted,Kısa WhatsApp/DM scriptini kişiselleştir; önce web sitesinden güncel telefon doğrula.
