priority,lead,contact,source,status,first_message,follow_up_24h,call_goal,proposal_url
1,Dentaoris,https://www.dentaoris.com/,"https://www.google.com/maps/search/?api=1&query=40.9908188,29.0283906",ready_to_contact,"Merhaba, Dentaoris için kısa bir randevu kaçağı hesabı çıkarmak istedim. Diş kliniklerinde cevapsız arama + son dakika iptal + no-show yüzünden haftada birkaç boş slot bile ciddi ciro kaybı yaratıyor. 7 günlük NoShow Kalkanı pilotunda WhatsApp takip mesajları, resepsiyon mini SOP ve günlük kurtarılan slot raporunu kuruyoruz. İlk 5 klinikte pilot ₺4.900. Haftalık yaklaşık kaç randevu iptal/no-show oluyor?","Teklif detayını buraya bıraktım: https://goktugozdem2.github.io/noshow-kalkan/sales/pilot-proposal.html
Eğer haftada 6+ slot kaçıyorsa 15 dakikada hesaplayıp pilotun mantıklı olup olmadığını net söyleyebilirim.",15 dk kayıp hesabı görüşmesi ayarla,https://goktugozdem2.github.io/noshow-kalkan/sales/pilot-proposal.html
2,Dt. Samet Aksu,+90 216 801 40 00,"https://www.google.com/maps/search/?api=1&query=40.9863683,29.0257934",ready_to_contact,"Merhaba, Dt. Samet Aksu için kısa bir randevu kaçağı hesabı çıkarmak istedim. Diş kliniklerinde cevapsız arama + son dakika iptal + no-show yüzünden haftada birkaç boş slot bile ciddi ciro kaybı yaratıyor. 7 günlük NoShow Kalkanı pilotunda WhatsApp takip mesajları, resepsiyon mini SOP ve günlük kurtarılan slot raporunu kuruyoruz. İlk 5 klinikte pilot ₺4.900. Haftalık yaklaşık kaç randevu iptal/no-show oluyor?","Teklif detayını buraya bıraktım: https://goktugozdem2.github.io/noshow-kalkan/sales/pilot-proposal.html
Eğer haftada 6+ slot kaçıyorsa 15 dakikada hesaplayıp pilotun mantıklı olup olmadığını net söyleyebilirim.",15 dk kayıp hesabı görüşmesi ayarla,https://goktugozdem2.github.io/noshow-kalkan/sales/pilot-proposal.html
3,Dr. Gizem Gülgezen,+905374958580,"https://www.google.com/maps/search/?api=1&query=40.985068,29.0288375",ready_to_contact,"Merhaba, Dr. Gizem Gülgezen için kısa bir randevu kaçağı hesabı çıkarmak istedim. Diş kliniklerinde cevapsız arama + son dakika iptal + no-show yüzünden haftada birkaç boş slot bile ciddi ciro kaybı yaratıyor. 7 günlük NoShow Kalkanı pilotunda WhatsApp takip mesajları, resepsiyon mini SOP ve günlük kurtarılan slot raporunu kuruyoruz. İlk 5 klinikte pilot ₺4.900. Haftalık yaklaşık kaç randevu iptal/no-show oluyor?","Teklif detayını buraya bıraktım: https://goktugozdem2.github.io/noshow-kalkan/sales/pilot-proposal.html
Eğer haftada 6+ slot kaçıyorsa 15 dakikada hesaplayıp pilotun mantıklı olup olmadığını net söyleyebilirim.",15 dk kayıp hesabı görüşmesi ayarla,https://goktugozdem2.github.io/noshow-kalkan/sales/pilot-proposal.html
4,Ali Emir Körpeoğlu / Onur Çataldaş / Diş Hekimi,https://www.modadishekimi.com,"https://www.google.com/maps/search/?api=1&query=40.9846541,29.0277975",ready_to_contact,"Merhaba, Ali Emir Körpeoğlu / Onur Çataldaş / Diş Hekimi için kısa bir randevu kaçağı hesabı çıkarmak istedim. Diş kliniklerinde cevapsız arama + son dakika iptal + no-show yüzünden haftada birkaç boş slot bile ciddi ciro kaybı yaratıyor. 7 günlük NoShow Kalkanı pilotunda WhatsApp takip mesajları, resepsiyon mini SOP ve günlük kurtarılan slot raporunu kuruyoruz. İlk 5 klinikte pilot ₺4.900. Haftalık yaklaşık kaç randevu iptal/no-show oluyor?","Teklif detayını buraya bıraktım: https://goktugozdem2.github.io/noshow-kalkan/sales/pilot-proposal.html
Eğer haftada 6+ slot kaçıyorsa 15 dakikada hesaplayıp pilotun mantıklı olup olmadığını net söyleyebilirim.",15 dk kayıp hesabı görüşmesi ayarla,https://goktugozdem2.github.io/noshow-kalkan/sales/pilot-proposal.html
5,Modadent - Dt. Zafer Özaycan,+90 216 450 40 55,"https://www.google.com/maps/search/?api=1&query=40.9839589,29.0277196",ready_to_contact,"Merhaba, Modadent - Dt. Zafer Özaycan için kısa bir randevu kaçağı hesabı çıkarmak istedim. Diş kliniklerinde cevapsız arama + son dakika iptal + no-show yüzünden haftada birkaç boş slot bile ciddi ciro kaybı yaratıyor. 7 günlük NoShow Kalkanı pilotunda WhatsApp takip mesajları, resepsiyon mini SOP ve günlük kurtarılan slot raporunu kuruyoruz. İlk 5 klinikte pilot ₺4.900. Haftalık yaklaşık kaç randevu iptal/no-show oluyor?","Teklif detayını buraya bıraktım: https://goktugozdem2.github.io/noshow-kalkan/sales/pilot-proposal.html
Eğer haftada 6+ slot kaçıyorsa 15 dakikada hesaplayıp pilotun mantıklı olup olmadığını net söyleyebilirim.",15 dk kayıp hesabı görüşmesi ayarla,https://goktugozdem2.github.io/noshow-kalkan/sales/pilot-proposal.html
6,Clidenta,+90 216 346 2090,"https://www.google.com/maps/search/?api=1&query=40.9864271,29.0330994",ready_to_contact,"Merhaba, Clidenta için kısa bir randevu kaçağı hesabı çıkarmak istedim. Diş kliniklerinde cevapsız arama + son dakika iptal + no-show yüzünden haftada birkaç boş slot bile ciddi ciro kaybı yaratıyor. 7 günlük NoShow Kalkanı pilotunda WhatsApp takip mesajları, resepsiyon mini SOP ve günlük kurtarılan slot raporunu kuruyoruz. İlk 5 klinikte pilot ₺4.900. Haftalık yaklaşık kaç randevu iptal/no-show oluyor?","Teklif detayını buraya bıraktım: https://goktugozdem2.github.io/noshow-kalkan/sales/pilot-proposal.html
Eğer haftada 6+ slot kaçıyorsa 15 dakikada hesaplayıp pilotun mantıklı olup olmadığını net söyleyebilirim.",15 dk kayıp hesabı görüşmesi ayarla,https://goktugozdem2.github.io/noshow-kalkan/sales/pilot-proposal.html
7,Alyans Klinik,https://alyansclinic.com/,"https://www.google.com/maps/search/?api=1&query=40.9949168,29.0382612",ready_to_contact,"Merhaba, Alyans Klinik için kısa bir randevu kaçağı hesabı çıkarmak istedim. Diş kliniklerinde cevapsız arama + son dakika iptal + no-show yüzünden haftada birkaç boş slot bile ciddi ciro kaybı yaratıyor. 7 günlük NoShow Kalkanı pilotunda WhatsApp takip mesajları, resepsiyon mini SOP ve günlük kurtarılan slot raporunu kuruyoruz. İlk 5 klinikte pilot ₺4.900. Haftalık yaklaşık kaç randevu iptal/no-show oluyor?","Teklif detayını buraya bıraktım: https://goktugozdem2.github.io/noshow-kalkan/sales/pilot-proposal.html
Eğer haftada 6+ slot kaçıyorsa 15 dakikada hesaplayıp pilotun mantıklı olup olmadığını net söyleyebilirim.",15 dk kayıp hesabı görüşmesi ayarla,https://goktugozdem2.github.io/noshow-kalkan/sales/pilot-proposal.html
8,Dentvibe Dental Clinic,+90 543 857 77 28,"https://www.google.com/maps/search/?api=1&query=40.9929146,29.047759",ready_to_contact,"Merhaba, Dentvibe Dental Clinic için kısa bir randevu kaçağı hesabı çıkarmak istedim. Diş kliniklerinde cevapsız arama + son dakika iptal + no-show yüzünden haftada birkaç boş slot bile ciddi ciro kaybı yaratıyor. 7 günlük NoShow Kalkanı pilotunda WhatsApp takip mesajları, resepsiyon mini SOP ve günlük kurtarılan slot raporunu kuruyoruz. İlk 5 klinikte pilot ₺4.900. Haftalık yaklaşık kaç randevu iptal/no-show oluyor?","Teklif detayını buraya bıraktım: https://goktugozdem2.github.io/noshow-kalkan/sales/pilot-proposal.html
Eğer haftada 6+ slot kaçıyorsa 15 dakikada hesaplayıp pilotun mantıklı olup olmadığını net söyleyebilirim.",15 dk kayıp hesabı görüşmesi ayarla,https://goktugozdem2.github.io/noshow-kalkan/sales/pilot-proposal.html
9,Dent Dizayn,https://www.dentdizayn.net/,"https://www.google.com/maps/search/?api=1&query=40.9795911,29.0448547",ready_to_contact,"Merhaba, Dent Dizayn için kısa bir randevu kaçağı hesabı çıkarmak istedim. Diş kliniklerinde cevapsız arama + son dakika iptal + no-show yüzünden haftada birkaç boş slot bile ciddi ciro kaybı yaratıyor. 7 günlük NoShow Kalkanı pilotunda WhatsApp takip mesajları, resepsiyon mini SOP ve günlük kurtarılan slot raporunu kuruyoruz. İlk 5 klinikte pilot ₺4.900. Haftalık yaklaşık kaç randevu iptal/no-show oluyor?","Teklif detayını buraya bıraktım: https://goktugozdem2.github.io/noshow-kalkan/sales/pilot-proposal.html
Eğer haftada 6+ slot kaçıyorsa 15 dakikada hesaplayıp pilotun mantıklı olup olmadığını net söyleyebilirim.",15 dk kayıp hesabı görüşmesi ayarla,https://goktugozdem2.github.io/noshow-kalkan/sales/pilot-proposal.html
10,Klinik 216,+90 216 337 0 216,"https://www.google.com/maps/search/?api=1&query=40.9748825,29.044145",ready_to_contact,"Merhaba, Klinik 216 için kısa bir randevu kaçağı hesabı çıkarmak istedim. Diş kliniklerinde cevapsız arama + son dakika iptal + no-show yüzünden haftada birkaç boş slot bile ciddi ciro kaybı yaratıyor. 7 günlük NoShow Kalkanı pilotunda WhatsApp takip mesajları, resepsiyon mini SOP ve günlük kurtarılan slot raporunu kuruyoruz. İlk 5 klinikte pilot ₺4.900. Haftalık yaklaşık kaç randevu iptal/no-show oluyor?","Teklif detayını buraya bıraktım: https://goktugozdem2.github.io/noshow-kalkan/sales/pilot-proposal.html
Eğer haftada 6+ slot kaçıyorsa 15 dakikada hesaplayıp pilotun mantıklı olup olmadığını net söyleyebilirim.",15 dk kayıp hesabı görüşmesi ayarla,https://goktugozdem2.github.io/noshow-kalkan/sales/pilot-proposal.html
